Number of warehouse generated: 50

#1: 	Location: Jeddah | Working hours: 12
	[aluminium grams, plastic grams, glass grams, silicon mg , gold mg , copper mg, iron grams, chrome mg, silver mg]
	Storage capacity: [9703, 5182, 7971, 9348, 926, 2092, 8514, 1180, 908]
	Materials: [287483, 696621, 543001, 99260, 60482, 397162, 115572, 474097, 281746]
	[$ per grams, $ per grams, $ per grams, $ per mg , $ per mg, $ per mg, $ per grams, $ per mg, $ per mg]
	Material prices: [0.04477, 0.0126, 0.07325, 0.05032, 0.6776, 0.09297, 0.00769, 0.30233, 0.21292]

#2: 	Location: Jeddah | Working hours: 18
	[aluminium grams, plastic grams, glass grams, silicon mg , gold mg , copper mg, iron grams, chrome mg, silver mg]
	Storage capacity: [6985, 8790, 8067, 8503, 631, 1181, 6679, 2733, 984]
	Materials: [587677, 537584, 591898, 81041, 73131, 359406, 363658, 446180, 352130]
	[$ per grams, $ per grams, $ per grams, $ per mg , $ per mg, $ per mg, $ per grams, $ per mg, $ per mg]
	Material prices: [0.03251, 0.02482, 0.06914, 0.03275, 0.55403, 0.14289, 0.0071, 0.30207, 0.33896]

#3: 	Location: Riyadh | Working hours: 18
	[aluminium grams, plastic grams, glass grams, silicon mg , gold mg , copper mg, iron grams, chrome mg, silver mg]
	Storage capacity: [9389, 7121, 6892, 7945, 907, 1968, 5974, 517, 908]
	Materials: [265965, 270587, 156807, 92838, 72785, 321514, 101825, 448706, 285983]
	[$ per grams, $ per grams, $ per grams, $ per mg , $ per mg, $ per mg, $ per grams, $ per mg, $ per mg]
	Material prices: [0.04732, 0.02285, 0.05314, 0.05252, 0.55638, 0.09067, 0.00801, 0.45309, 0.30163]

#4: 	Location: Jeddah | Working hours: 24
	[aluminium grams, plastic grams, glass grams, silicon mg , gold mg , copper mg, iron grams, chrome mg, silver mg]
	Storage capacity: [8143, 8557, 6051, 5051, 717, 1592, 9209, 1734, 869]
	Materials: [756062, 200553, 456342, 86375, 74964, 111290, 323087, 359637, 257799]
	[$ per grams, $ per grams, $ per grams, $ per mg , $ per mg, $ per mg, $ per grams, $ per mg, $ per mg]
	Material prices: [0.04391, 0.02959, 0.05464, 0.0356, 0.62368, 0.11412, 0.00754, 0.43145, 0.2171]

#5: 	Location: Dammam | Working hours: 18
	[aluminium grams, plastic grams, glass grams, silicon mg , gold mg , copper mg, iron grams, chrome mg, silver mg]
	Storage capacity: [6506, 8252, 9736, 8535, 643, 1747, 8519, 2455, 724]
	Materials: [750673, 375542, 122076, 99163, 55859, 209691, 635616, 330983, 255290]
	[$ per grams, $ per grams, $ per grams, $ per mg , $ per mg, $ per mg, $ per grams, $ per mg, $ per mg]
	Material prices: [0.0497, 0.02519, 0.05617, 0.04952, 0.58632, 0.14693, 0.00836, 0.31631, 0.21887]

#6: 	Location: Makkah | Working hours: 12
	[aluminium grams, plastic grams, glass grams, silicon mg , gold mg , copper mg, iron grams, chrome mg, silver mg]
